City_ru,City
Абакан,Abakan
Азов,Azov
Актау,Aktau
Актобе,Aktobe
Александров,Alexandrov
Алексин,Aleksin
Алматы,Almaty
Альметьевск,Almetyevsk
Анапа,Anapa
Ангарск,Angarsk
Анжеро-Судженск,Anzhero-Sudzhensk
Апатиты,Apatity
Арзамас,Arzamas
Армавир,Armavir
Арсеньев,Arsenyev
Артём,Artyom
Архангельск,Arkhangelsk
Асбест,Asbestos
Астрахань,Astrakhan
Атырау,Atyrau
Ачинск,Achinsk
Байконур,Baikonur
Баку,Baku
Балаково,Balakovo
Балашиха,Balashikha
Балашов,Balashov
Балхаш,Balkhash
Барановичи,Baranovichi
Барнаул,Barnaul
Батайск,Bataysk
Батуми,Batumi
Белгород,Belgorod
Белебей,Belebei
Белово,Belovo
Белогорск,Belogorsk
Белорецк,Beloretsk
Белореченск,Belorechensk
Бендеры,Bender
Бердск,Berdsk
Березники,Berezniki
Берёзовский,Berezovsky
Бийск,Biisk
Биробиджан,Birobidzhan
Бишкек,Bishkek
Благовещенск,Blagoveshchensk
Бобруйск,Bobruisk
Бор,Boron
Борисов,Borisov
Борисоглебск,Borisoglebsk
Боровичи,Borovichi
Братск,Bratsk
Брест,Brest
Брянск,Bryansk
Бугульма,Bugulma
Будённовск,Budennovsk
Бузулук,Buzuluk
Буйнакск,Buynaksk
Бухара,Bukhara
Ванадзор,Vanadzor
Великие Луки,great Luke
Великий Новгород,Velikiy Novgorod
Верхняя Пышма,Upper Pyshma
Видное,Vidnoe
Витебск,Vitebsk
Владивосток,Vladivostok
Владикавказ,Vladikavkaz
Владимир,Vladimir
Волгоград,Volgograd
Волгодонск,Volgodonsk
Волжск,Volzhsk
Волжский,Volzhsky
Вологда,Vologda
Вольск,Volsk
Воркута,Vorkuta
Воронеж,Voronezh
Воскресенск,Voskresensk
Воткинск,Votkinsk
Всеволожск,Vsevolozhsk
Выборг,Vyborg
Выкса,Vyksa
Вязьма,Vyazma
Гатчина,Gatchina
Геленджик,Gelendzhik
Георгиевск,Georgievsk
Глазов,Glazov
Гомель,Gomel
Горно-Алтайск,Gorno-Altaisk
Гродно,Grodno
Грозный,formidable
Губкин,Gubkin
Гудермес,Gudermes
Гуково,Gukovo
Гусь-Хрустальный,Goose-crystal
Гюмри,Gyumri
Гянджа,Ganja
Дербент,Derbent
Дзержинск,Dzerzhinsk
Дзержинский,Dzerzhinsky
Димитровград,Dimitrovgrad
Дмитров,Dmitrov
Долгопрудный,Dolgoprudny
Домодедово,Domodedovo
Донской,Don
Дубна,Dubna
Евпатория,Yevpatoriya
Егорьевск,Egorevsk
Ейск,Yeisk
Екатеринбург,Yekaterinburg
Елабуга,Yelabuga
Елец,Dace
Ереван,Yerevan
Ессентуки,Essentuki
Жезказган,Zhezkazgan
Железногорск,Zheleznogorsk
Железнодорожный,Railway
Жигулёвск,Zhiguliovsk
Жлобин,Zhlobin
Жодино,Zhodino
Жуковский,Zhukovsky
Заречный,Zarechnyi
Зеленогорск,Zelenogorsk
Зеленоград,Zelenograd
Зеленодольск,Zelenodolsk
Златоуст,Zlatoust
Иваново,Ivanovo
Ивантеевка,Ivanteevka
Ижевск,Izhevsk
Избербаш,Izberbash
Иркутск,Irkutsk
Искитим,Iskitim
Ишим,Ishim
Ишимбай,Ishimbai
Йошкар-Ола,Yoshkar-Ola
Казань,Kazan
Калининград,Kaliningrad
Калуга,Kaluga
Каменск-Уральский,Kamensk-Uralsky
Каменск-Шахтинский,Kamensk-Shakhtinsky
Камышин,Kamyshin
Канск,Kansk
Капшагай,Kapshagay
Караганда,Karaganda
Каскелен,Kaskelen
Каспийск,Kaspiysk
Кемерово,Kemerovo
Керчь,Kerch
Кинешма,Kineshma
Кириши,Kirishi
Киров,Kirov
Кирово-Чепецк,Kirovo-Chepetsk
Кировск,Kirovsk
Киселёвск,Kiselevsk
Кисловодск,Kislovodsk
Кишинев,Kishinev
Клин,Wedge
Клинцы,Klintsy
Ковров,carpet
Когалым,Kogalym
Кокшетау,Kokshetau
Коломна,Kolomna
Колпино,Kolpino
Комсомольск-на-Амуре,Komsomolsk-on-Amur
