Country_ru,Country
Австралия,Australia
Австрия,Austria
Азербайджан,Azerbaijan
Албания,Albania
Алжир,Algeria
Ангола,Angola
Андорра,andorra
Антигуа и Барбуда,Antigua and Barbuda
Аргентина,Argentina
Армения,Armenia
Афганистан,Afghanistan
Багамские острова,Bahamas
Бангладеш,Bangladesh
Барбадос,Barbados
Бахрейн,Bahrain
Беларусь,Belarus
Белиз,Belize
Бельгия,Belgium
Бенин,Benin
Болгария,Bulgaria
Боливия,Bolivia
Босния и Герцеговина,Bosnia and Herzegovina
Ботсвана,Botswana
Бразилия,Brazil
Бруней,Brunei
Буркина-Фасо,Burkina Faso
Бурунди,Burundi
Бутан,Butane
Великобритания,United Kingdom
Венгрия,Hungary
Венесуэла,Venezuela
Восточный Тимор,East Timor
Вьетнам,Vietnam
Габон,Gabon
Гаити,Haiti
Гайана,Guyana
Гамбия,Gambia
Гана,Ghana
Гватемала,Guatemala
Гвинея,Guinea
Гвинея-Бисау,Guinea-Bissau
Германия,Germany
Гондурас,Honduras
Гренада,Grenada
Греция,Greece
Грузия,Georgia
ДР Конго,DR Congo
Дания,Denmark
Джибути,Djibouti
Доминика,Dominica
Доминиканская Республика,Dominican Republic
Египет,Egypt
Замбия,Zambia
Западная Сахара,West Sahara
Западный берег реки Иордан,West Bank
Зимбабве,Zimbabwe
Израиль,Israel
Индия,India
Индонезия,Indonesia
Иордания,Jordan
Ирак,Iraq
Иран,Iran
Ирландия,Ireland
Исландия,Iceland
Испания,Spain
Италия,Italy
Йемен,Yemen
Кабо-Верде,Cape Verde
Казахстан,Kazakhstan
Камбоджа,Cambodia
Камерун,Cameroon
Канада,Canada
Катар,Qatar
Кения,Kenya
Кипр,Cyprus
Киргизия,Kyrgyzstan
Китай,China
Колумбия,Colombia
Коморские острова,Comoros
Косово и Метохия,Kosovo and Metohija
Коста-Рика,Costa Rica
Кот-д’Ивуар,Côte d'Ivoire
Куба,Cuba
Кувейт,Kuwait
Лаос,Laos
Латвия,Latvia
Лесото,Lesotho
Либерия,Liberia
Ливан,Lebanon
Ливия,Libya
Литва,Lithuania
Лихтенштейн,Liechtenstein
Люксембург,Luxembourg
Маврикий,Mauritius
Мавритания,Mauritania
Мадагаскар,Madagascar
Малави,Malawi
Малайзия,Malaysia
Мали,Mali
Мальдивы,Maldives
Мальта,Malta
Марокко,Morocco
Мексика,Mexico
Мозамбик,Mozambique
Молдавия,Moldavia
Монако,Monaco
Монголия,Mongolia
Мьянма,Myanmar
Намибия,Namibia
Непал,Nepal
Нигер,Niger
Нигерия,Nigeria
Нидерланды,Netherlands
Никарагуа,Nicaragua
Новая Зеландия,New Zealand
Норвегия,Norway
ОАЭ,United Arab Emirates
Оман,Oman
Пакистан,Pakistan
Панама,Panama
Папский Престол,Holy See
Папуа — Новая Гвинея,Papua New Guinea
Парагвай,Paraguay
Перу,Peru
Польша,Poland
Португалия,Portugal
Республика Конго,Republic of the Congo
Россия,Russia
Руанда,Rwanda
Румыния,Romania
США,USA
Сальвадор,Salvador
Сан-Марино,San Marino
Сан-Томе и Принсипи,Sao Tome and Principe
Саудовская Аравия,Saudi Arabia
Северная Македония,North Macedonia
Сейшельские острова,Seychelles
Сенегал,Senegal
Сент-Винсент и Гренадины,Vc
Сент-Китс и Невис,Saint Kitts and Nevis
Сент-Люсия,Saint Lucia
Сербия,Serbia
Сингапур,Singapore
Сирия,Syria
Словакия,Slovakia
Словения,Slovenia
Сомали,Somalia
Судан,Sudan
"Судно ""Diamond Princess""","The ship ""Diamond Princess"""
"Судно ""MS Zaandam""","The ship ""MS Zaandam"""
Суринам,Surinam
Сьерра-Леоне,Sierra Leone
Таджикистан,Tajikistan
Таиланд,Thailand
Танзания,Tanzania
Того,Togo
Тринидад и Тобаго,Trinidad and Tobago
Тунис,Tunisia
Турция,Turkey
Уганда,Uganda
Узбекистан,Uzbekistan
Украина,Ukraine
Уругвай,Uruguay
Фиджи,Fiji
Филиппины,Philippines
Финляндия,Finland
Франция,France
Хорватия,Croatia
ЦАР,CAR
Чад,Chad
Черногория,Montenegro
Чехия,Czech Republic
Чили,Chile
Швейцария,Switzerland
Швеция,Sweden
Шри-Ланка,Sri Lanka
Эквадор,Ecuador
Экваториальная Гвинея,Equatorial Guinea
Эритрея,Eritrea
Эсватини,Esvatini
Эстония,Estonia
Эфиопия,Ethiopia
ЮАР,South Africa
Южная Корея,South Korea
Южный Судан,South Sudan
Ямайка,Jamaica
Япония,Japan
