Region_ru,Region
Алтайский край,Altai region
Амурская область,Amur region
Архангельская область,Arhangelsk region
Астраханская область,Astrakhan region
Белгородская область,Belgorod region
Брянская область,Bryansk region
Владимирская область,Vladimir region
Волгоградская область,Volgograd region
Вологодская область,Vologda Region
Воронежская область,Voronezh region
Еврейская автономная область,Jewish Autonomous Region
Забайкальский край,Zabaykalsky Krai
Ивановская область,Ivanovo region
Иркутская область,Irkutsk region
Кабардино-Балкарская Республика,Kabardino-Balkar Republic
Калининградская область,Kaliningrad region
Калужская область,Kaluga region
Камчатский край,Kamchatka Krai
Карачаево-Черкесская Республика,Karachay-Cherkess Republic
Кемеровская область,Kemerovo region
Кировская область,Kirov region
Костромская область,Kostroma region
Краснодарский край,Krasnodar region
Красноярский край,Krasnoyarsk region
Курганская область,Kurgan region
Курская область,Kursk region
Ленинградская область,Leningrad region
Липецкая область,Lipetsk region
Магаданская область,Magadan Region
Москва,Moscow
Московская область,Moscow region
Мурманская область,Murmansk region
Ненецкий АО,Nenets
Нижегородская область,Nizhny Novgorod Region
Новгородская область,Novgorod region
Новосибирская область,Novosibirsk region
Омская область,Omsk region
Оренбургская область,Orenburg region
Орловская область,Oryol Region
Пензенская область,Penza region
Пермский край,Perm
Приморский край,Primorsky Krai
Псковская область,Pskov region
Республика Адыгея,Republic of Adygea
Республика Алтай,Altai Republic
Республика Башкортостан,Republic of Bashkortostan
Республика Бурятия,The Republic of Buryatia
Республика Дагестан,The Republic of Dagestan
Республика Ингушетия,The Republic of Ingushetia
Республика Калмыкия,Republic of Kalmykia
Республика Карелия,The Republic of Karelia
Республика Коми,Komi Republic
Республика Крым,Republic of Crimea
Республика Марий Эл,Mari El Republic
Республика Мордовия,The Republic of Mordovia
Республика Саха (Якутия),The Republic of Sakha (Yakutia)
Республика Татарстан,Republic of Tatarstan
Республика Тыва,Tyva Republic
Республика Хакасия,The Republic of Khakassia
Республика Чувашия,Chuvash Republic
Ростовская область,Rostov region
Рязанская область,Ryazan Oblast
Самарская область,Samara Region
Санкт-Петербург,St. Petersburg
Саратовская область,Saratov region
Сахалинская область,Sakhalin region
Свердловская область,Sverdlovsk region
Севастополь,Sevastopol
Северная Осетия,North Ossetia
Смоленская область,Smolensk region
Ставропольский край,Stavropol region
Тамбовская область,Tambov Region
Тверская область,Tver region
Томская область,Tomsk region
Тульская область,Tula region
Тюменская область,Tyumen region
Удмуртская Республика,Udmurtia
Ульяновская область,Ulyanovsk region
Хабаровский край,Khabarovsk region
Ханты-Мансийский АО,Khanty-Mansiysk
Челябинская область,Chelyabinsk region
Чеченская Республика,Chechen Republic
Чукотский автономный округ,Chukotka Autonomous Okrug
Ямало-Ненецкий АО,Yamalo-Nenets Autonomous Okrug
Ярославская область,Yaroslavskaya oblast
